Coding No.,Supplier,Total Quantity,Date of delivery
SAMCO-PCO-MIR-STR-056-R01,Samco,11.975,06-01-2026
SAMCO-PCO-MIR-STR-057-R01,Samco,30.625,13-01-2026
SAMCO-PCO-MIR-STR-058-R01,Samco,69.425,15-01-2026
SAMCO-PCO-MIR-STR-061-R00,Samco,43.047,26-01-2026
SAMCO-PCO-MIR-STR-062-R00,Samco,19.610,27-01-2026
SAMCO-PCO-MIR-STR-063-R00,Samco,101.740,29-01-2026
SAMCO-PCO-MIR-STR-064-R00,Samco,13.705,31-01-2026
SAMCO-PCO-MIR-STR-065-R00,Samco,88.660,09-02-2026
SAMCO-PCO-MIR-STR-066-R00,Samco,20.013,26-01-2026
SAMCO-PCO-MIR-STR-071-R00,Samco,5.925,15-02-2026
SAMCO-PCO-MIR-STR-072-R00,Samco,2.010,16-02-2026
SAMCO-PCO-MIR-STR-073-R00,Samco,29.670,17-02-2026
SAMCO-PCO-MIR-STR-074-R00,Samco,15.620,17-02-2026
SAMCO-PCO-MIR-STR-075-R00,Samco,5.765,18-02-2026
SAMCO-PCO-MIR-STR-076-R00,Samco,1.080,15-02-2026
SAMCO-PCO-MIR-STR-077-R00,Samco,78.740,06-04-2026
SAMCO-PCO-MIR-STR-078-R00,Samco,19.680,19-04-2026
SAMCO-PCO-MIR-STR-079-R00,Samco,7.775,20-04-2026
